week,coef,se
-12,0.00022417210713266897,0.007475983168966865
-11,0.009227515631728939,0.009732862105141949
-10,-0.01185702803308077,0.01840099100826498
-9,-0.01753899982842151,0.009309530972524033
-8,-0.0041328967167757365,0.008436261339588412
-7,0.010826306201474324,0.014140875284645492
-6,-0.003403131497109869,0.008260495751690047
-5,-0.012730065481157824,0.012281001856175483
-4,-0.015557765034279148,0.010369577599445125
-3,-0.017281309638540687,0.008806424889478547
-2,-0.0006741461050618919,0.006442050103049228
0,-0.13418753465197447,0.019884091976048002
1,-0.014219533875597878,0.011264956720717702
2,-0.004838569239692861,0.010391030590084548
3,0.00028553659008674626,0.014151115235138333
4,-0.001956443551938457,0.008915421977627585
5,-0.009068779010909096,0.014656555489074775
6,-0.01953025646321651,0.01144210928446324
7,-0.007452141286994524,0.011410785851104735
8,0.019675598483928587,0.008870112498927952
